wallet_id,score,tx_count,defi_interactions,account_age_days,tx_frequency,balance_eth,is_active
0x0795732aacc448030ef374374eaae57d2965c16c,531,6,0,0.02277777777777778,263.4146341463414,0.0,1
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,360,0,0,0.0,0.0,0.0,0
0x124853fecb522c57d9bd5c21231058696ca6d596,531,6,0,0.023055555555555555,260.2409638554217,0.0,1
0x111c7208a7e2af345d36b6d4aace8740d61a3078,360,0,0,0.0,0.0,0.0,0
0x06b51c6882b27cb05e712185531c1f74996dd988,360,0,0,0.0,0.0,0.0,0
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,360,0,0,0.0,0.0,0.0,0
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,360,0,0,0.0,0.0,0.0,0
0x104ae61d8d487ad689969a17807ddc338b445416,360,0,0,0.0,0.0,0.0,0
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,516,265,0,117.01118055555555,2.264740845633816,0.0,1
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,408,2135,0,2927.348136574074,0.729329037884311,0.0,1
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,419,8,0,21.695219907407406,0.36874482186136115,0.0,1
0x2844658bf341db96aa247259824f42025e3bcec2,518,6,0,0.6747337962962963,8.89239583512016,0.0,1
0x19df3e87f73c4aaf4809295561465b993e102668,335,34,0,2125.340150462963,0.01599743927699939,0.0,1
0x1ab2ccad4fc97c9968ea87d4435326715be32872,360,0,0,0.0,0.0,0.0,0
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,360,0,0,0.0,0.0,0.0,0
0x22d7510588d90ed5a87e0f838391aaafa707c34b,380,2,0,56.50681712962963,0.03539395955379851,0.0,1
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,360,0,0,0.0,0.0,0.0,0
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,360,0,0,0.0,0.0,0.0,0
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,808,115,16,264.25111111111113,0.43519211524391777,0.0,1
0x27f72a000d8e9f324583f3a3491ea66998275b28,360,0,0,0.0,0.0,0.0,0
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,535,7,0,0.006400462962962963,1093.6708860759493,0.0,1
0x330513970efd9e8dd606275fb4c50378989b3204,740,183,23,1554.5065972222221,0.11772224082355535,0.0,1
0x3867d222ba91236ad4d12c31056626f9e798629c,531,6,0,0.012002314814814815,499.9035679845709,0.0,1
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,360,0,0,0.0,0.0,0.0,0
0x3a44be4581137019f83021eeee72b7dc57756069,516,3,0,0.0032523148148148147,922.4199288256228,0.0,1
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,476,3,0,0.4510763888888889,6.650758217227311,0.0,1
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,360,0,0,0.0,0.0,0.0,0
0x4814be124d7fe3b240eb46061f7ddfab468fe122,360,0,0,0.0,0.0,0.0,0
0x4c4d05fe859279c91b074429b5fc451182cec745,360,0,0,0.0,0.0,0.0,0
0x4839e666e2baf12a51bf004392b35972eeddeabf,360,0,0,0.0,0.0,0.0,0
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,535,7,0,0.00832175925925926,841.1682892906815,0.0,1
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,360,0,0,0.0,0.0,0.0,0
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,307,8,0,675.6536805555555,0.011840385437435949,0.0,1
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,377,5,0,187.46498842592592,0.02667164702050846,0.0,1
0x4e61251336c32e4fe6bfd5fab014846599321389,516,3,0,0.0434837962962963,68.99121639606068,0.0,1
